"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"DLR";"Digital Realty Trust Inc";"Real Estate";105.05;2.7785969;2390141;1.21;3.67
"DLTR";"Dollar Tree";"Consumer Discretionary";104.74;-2.6760871;5204155;4.189;NA
"DOV";"Dover Corp.";"Industrials";98.27;0.9450418;1052796;5.15;1.82
"DPS";"Dr Pepper Snapple Group";"Consumer Staples";116.74;0.025703691;2754531;3.987;2.27
"DRE";"Duke Realty Corp";"Real Estate";25.3;-0.27592275;4752037;4.197;0.77
"DRI";"Darden Restaurants";"Consumer Discretionary";94.22;1.6506622;1343945;3.901;2.38
"DTE";"DTE Energy Co.";"Utilities";101.25;0.18800955;1572728;5.427;3.3
"DUK";"Duke Energy";"Utilities";76.81;0.9329817;4373075;3.041;3.455
"DVA";"DaVita Inc.";"Health Care";73.41;0.60299087;1388096;2.658;NA
"DWDP";"DowDuPont";"Materials";71.84;3.3966508;10242542;0.902;1.76
"DVN";"Devon Energy Corp.";"Energy";35.78;3.1718526;6551611;2.939;0.24
"DXC";"DXC Technology";"Information Technology";97.9;0.9382448;2544501;4.173;0.12
"EA";"Electronic Arts";"Information Technology";122.22;1.3096833;3695119;3.206;NA
"EBAY";"eBay Inc.";"Information Technology";42.32;1.5842531;11821321;-0.955;NA
"ECL";"Ecolab Inc.";"Materials";130.16;1.2760655;1551406;4.432;1.48
"ED";"Consolidated Edison";"Utilities";77.4;0.663288;2442921;3.978;2.74
"EFX";"Equifax Inc.";"Industrials";114.4;1.9607885;1116958;4.43;1.5
"EIX";"Edison Int'l";"Utilities";60.06;1.9002423;2853644;4.378;2.17
"EL";"Estee Lauder Cos.";"Consumer Staples";137.03;1.6920213;2273358;2.87;1.4
"EMN";"Eastman Chemical";"Materials";97.52;2.8691914;1763639;10.09;2.04
"EMR";"Emerson Electric Company";"Industrials";70.31;1.795277;5187914;2.346;1.92
"EOG";"EOG Resources";"Energy";103.14;3.0678523;3551493;0.012;0.67
"EQIX";"Equinix";"Real Estate";431.45;1.3245379;876972;3.035;7.75
"EQR";"Equity Residential";"Real Estate";56.61;-0.07061062;2982763;1.63;2.015
"EQT";"EQT Corporation";"Energy";47.77;4.4609685;4466768;0.211;0.12
"ES";"Eversource Energy";"Utilities";57.53;0.89442;2176612;3.08;1.865
"ESRX";"Express Scripts";"Health Care";72.89;1.6455171;3796363;6.092;NA
"ESS";"Essex Property Trust, Inc.";"Real Estate";227.85;-0.03948247;932798;6.57;7
"ETFC";"E*Trade";"Financials";50.2;1.4756409;2764104;2.15;NA
"ETN";"Eaton Corporation";"Industrials";82.02;1.5476043;2789839;6.68;2.4
